location,item,item_ID,npc_ID,npc_experience,init,description,condition,threshold,wordview,bgm
地牢,,0,,,1.0,你挣扎着撑开眼帘，不知道发现自己身处何处,,,游戏设定在一个中国的架空古代朝代中，主角已经完全失忆，突然醒来发现自己被困在地牢中。,bgm1
地牢,火炬,1,,,1.0,周围一片昏暗，只有两支将熄的火把在石壁上投下扭曲的暗影，木炭爆裂的噼啪声在拱顶地牢里格外清晰,,,游戏设定在一个中国的架空古代朝代中，主角已经完全失忆，突然醒来发现自己被困在地牢中。,bgm1
地牢,砖块,2,,,1.0,但是细细观察屋中的影子，墙上的某一块砖旁边也透着些许光芒,sense,7.0,游戏设定在一个中国的架空古代朝代中，主角已经完全失忆，突然醒来发现自己被困在地牢中。,bgm1
地牢,尸体,3,,,1.0,三米外的阴影里蜷缩着具男性尸体，他瞪着的双眼让你胃部痉挛,,,游戏设定在一个中国的架空古代朝代中，主角已经完全失忆，突然醒来发现自己被困在地牢中。,bgm1
地牢,栅栏门,4,,,1.0,尸体旁锁上的栅栏门看上去是唯一的出路,,,游戏设定在一个中国的架空古代朝代中，主角已经完全失忆，突然醒来发现自己被困在地牢中。,bgm1
地牢,,0,,,1.0,"你努力回忆自己为何会沦落到这般境地，却发现自己的无法回忆起任何事情
你只记得自己与他人不同，可以用通灵术读取记忆或与亡者对话
还有一个词始终在你的脑海中重复：
“梵脉”
但是现在的要紧任务就是逃离这座牢房。",,,游戏设定在一个中国的架空古代朝代中，主角已经完全失忆，突然醒来发现自己被困在地牢中。,bgm1
地牢,马匹,6,,,0.0,这匹马虽然看起来灰头土脸，神态也略显呆滞，但是身型硬朗，应该能够载你去不算太远的地方。,,,游戏设定在一个中国的架空古代朝代中，主角已经完全失忆，突然醒来发现自己被困在地牢中。,bgm1
地牢,隐藏房间,7,,,0.0,那个房间似乎正在吸入你的灵魂,,,游戏设定在一个中国的架空古代朝代中，主角已经完全失忆，突然醒来发现自己被困在地牢中。,bgm1
南方客栈,,0,,,1.0,你来到南方客栈，推开客栈斑驳的木门。,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃出来到南方客栈，发现这此处发生过惨案，客栈里有着大量血迹，客栈后方井旁边有打量牛羊尸体叠，血迹一直延伸到井边，掌柜被吓傻了躲在柜台后。,bgm2
南方客栈,井,8,,,1.0,门轴发出干涩的吱呀声，青砖地面洇着大片褐红，碎瓷片在血泊里泛着暗光。八仙桌翻倒处，五道指痕深深抓进砖缝。,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃出来到南方客栈，发现这此处发生过惨案，客栈里有着大量血迹，客栈后方井旁边有打量牛羊尸体叠，血迹一直延伸到井边，掌柜被吓傻了躲在柜台后。,bgm2
南方客栈,牛羊尸体,9,,,1.0,你沿着血迹绕过回廊，腐臭扑面而来，牛羊尸体叠在井台边，而血迹则停留在了井边。,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃出来到南方客栈，发现这此处发生过惨案，客栈里有着大量血迹，客栈后方井旁边有打量牛羊尸体叠，血迹一直延伸到井边，掌柜被吓傻了躲在柜台后。,bgm2
南方客栈,客栈老板,,3,,1.0,柜台后的算盘珠子散落满地，掌柜蜷在阴影中发抖，指甲缝里结着黑痂。他喉头滚动着咯咯声，瞳孔缩成针尖大小。,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃出来到南方客栈，发现这此处发生过惨案，客栈里有着大量血迹，客栈后方井旁边有打量牛羊尸体叠，血迹一直延伸到井边，掌柜被吓傻了躲在柜台后。,bgm2
南方客栈,账簿,10,,,1.0,,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃出来到南方客栈，发现这此处发生过惨案，客栈里有着大量血迹，客栈后方井旁边有打量牛羊尸体叠，血迹一直延伸到井边，掌柜被吓傻了躲在柜台后。,bgm2
南方客栈,井下奇怪的镜子,11,,,0.0,,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃出来到南方客栈，发现这此处发生过惨案，客栈里有着大量血迹，客栈后方井旁边有打量牛羊尸体叠，血迹一直延伸到井边，掌柜被吓傻了躲在柜台后。,bgm2
南方客栈,倒塌的衣柜,12,,,0.0,,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃出来到南方客栈，发现这此处发生过惨案，客栈里有着大量血迹，客栈后方井旁边有打量牛羊尸体叠，血迹一直延伸到井边，掌柜被吓傻了躲在柜台后。,bgm2
南方客栈,精密仪器,13,,,0.0,,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃出来到南方客栈，发现这此处发生过惨案，客栈里有着大量血迹，客栈后方井旁边有打量牛羊尸体叠，血迹一直延伸到井边，掌柜被吓傻了躲在柜台后。,bgm2
南方客栈,尸体,14,,,0.0,,,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃出来到南方客栈，发现这此处发生过惨案，客栈里有着大量血迹，客栈后方井旁边有打量牛羊尸体叠，血迹一直延伸到井边，掌柜被吓傻了躲在柜台后。,bgm2
大漠地下,,0,,,1.0,"你正走在朝着壁画窟的方向。
然而赭色岩壁突然在视野里倾斜，
流沙已坍陷成漩涡。
你挣扎着抓住风蚀的岩棱，沙浪却瞬间没顶。
指缝间残留着滚烫的砂砾，喉头呛进最后一口灼热空气时，破碎的疑问混着血沫溢出齿缝：""还不能结…""
黑暗比流沙更先吞没了尾音。",,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃到南方客栈，之后又得到情报要去壁画窟。但是由于遇到流沙而昏迷，醒来发现自己被人救下。现在主角身处大漠的地下密室，旁边只能看到黄土墙壁，以及一个救下了主角的在大漠地下苦修的苦修者。,truth
大漠地下,苦修者,,5,,1.0,"你醒来之后发现自己正在被人照料着。
他应当是这里的苦行僧。
眼皮结着盐壳，下唇黑痂嵌沙粒。龟裂皮肤裹着肋骨凸起锯齿，脚掌茧裂蛛网纹。耳廓堆积沙柱，肩胛叠晒伤六层。
这里的房间也过于简陋，除了你躺的这块作为床的石板，周围就四面一堆黄沙做的墙壁。
同时你注意到自己获得了一股强烈的安心感与宁静感。",,,游戏设定在一个中国的架空古代朝代中，主角完全失忆，从地牢中逃到南方客栈，之后又得到情报要去壁画窟。但是由于遇到流沙而昏迷，醒来发现自己被人救下。现在主角身处大漠的地下密室，旁边只能看到黄土墙壁，以及一个救下了主角的在大漠地下苦修的苦修者。,truth
